model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),Operating System,graphics,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price
Lenovo V15 ITL G2 82KBA033IH Laptop,Lenovo,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,62,33921
HP Pavilion 15-ec2004AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,66,56150
Lenovo V15 82KBA03HIH Laptop,Lenovo,11th Gen Core i3,8,256,1000,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,66,35499
Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop,Asus,Ryzen 5-5600H,8,512,0,Windows,AMD RADEON VEGA 7,16.0,1200 x 1920,6,12,66,48990
HP 15s-fr4000TU Laptop,HP,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,63,52990
Lenovo IdeaPad Gaming 3 82K101ECIN Laptop,Lenovo,11th Gen Core i5,8,256,1000,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,4,8,73,56700
Infinix Zero Book Ultra Laptop,Infinix,12th Gen Core i9,16,512,0,Windows,MISSING,15.6,1920 x 1080,14,20,65,87620
HP 15s-eq1559AU Laptop,HP,AMD Athlon Silver 3050U,8,512,0,Windows,AMD RADEON,15.6,1366 x 768,2,2,57,29212
Dell Inspiron 3520 Laptop,Dell,12th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,6,8,61,44087
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.56,1920 x 1080,2,4,59,38800
Asus Vivobook Pro 15 OLED M6500QH-HN701WS Laptop,Asus,Ryzen 7 5800H,16,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,8,16,68,65990
Apple MacBook Air 2020 MGND3HN Laptop,Apple,Apple M1,8,256,0,Mac,APPLE M1 INTEGRATED,13.3,2560 x 1600,8,0,47,83900
HP 15s-fq5007TU Laptop,HP,12th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,6,8,60,46790
HP 15s-fq5111TU Laptop,HP,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,61,58530
Dell Inspiron 3520 D560871WIN9B Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,10,12,55,57223
Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop,Asus,AMD Ryzen 5 4600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,69,49990
HP 15s-er1501AU Laptop,HP,AMD Ryzen 3 3250U,8,256,0,Windows,AMD RADEON,15.6,1920 x 1080,2,4,57,28490
HP Victus 15-fb0040AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,72,59800
Realme Book Slim Laptop,Realme,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1440 x 2160,4,8,61,49990
Asus Vivobook 16X 2022 M1603QA-MB511WS Laptop,Asus,Ryzen 5-5600H,16,512,0,Windows,AMD RADEON VEGA 7,16.0,1920 x 1200,6,12,67,53990
Apple MacBook Air 2022 Laptop,Apple,Apple M2,8,256,0,Mac,8-CORE GPU,13.6,2560 x 1664,8,0,48,107990
Asus VivoBook 14 X415JA-BV301WS Laptop,Asus,10th Gen Core i3,8,0,1000,Windows,INTEL UHD,14.0,1920 x 1080,2,4,51,29890
HP 15s-fq2717TU Laptop,HP,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,56,41900
Lenovo V15 ‎82C70005UK Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,60,38480
Lenovo V15 82KDA00XIH Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,55,38489
Lenovo E41-55 82FJ00AGIH Laptop,Lenovo,Athlon Gold 3150U,4,256,0,Windows,AMD RADEON RADEON,14.0,1920 x 1080,2,4,41,18990
Asus VivoBook 15 X1500EA-EJ322WS Laptop,Asus,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,41,35978
